Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:01,1411,8073C2A90,1411,8073C2A90,7.29,US Dollar,7.29,US Dollar,Reinvestment,0
2022/09/01 00:13,15916,804756C60,15916,804756C60,31868.06,US Dollar,31868.06,US Dollar,Reinvestment,0
2022/09/01 00:29,31128,802DB4FB0,31128,802DB4FB0,23822.1,US Dollar,23822.1,US Dollar,Reinvestment,0
2022/09/01 00:22,11405,80196EE70,11405,80196EE70,69350.07,US Dollar,69350.07,US Dollar,Reinvestment,0
2022/09/01 00:10,1411,800CF8320,1588,801095090,13678.33,US Dollar,13678.33,US Dollar,Cheque,0
2022/09/01 00:10,21258,800A36B70,21258,800A36B70,889.49,US Dollar,889.49,US Dollar,Reinvestment,0
2022/09/01 00:16,16643,802A4F160,16643,802A4F160,460.8,US Dollar,393.24,Euro,ACH,0
2022/09/01 00:11,1420,8003D51D0,1420,8003D51D0,19717.08,US Dollar,19717.08,US Dollar,Reinvestment,0
2022/09/05 04:13,222103,808B6EC60,6625,80A655760,3077.75,Euro,3077.75,Euro,ACH,1
2022/09/01 00:24,313978,805120810,1601,805123340,411.41,US Dollar,411.41,US Dollar,Cheque,0
2022/09/01 00:27,113865,807337F30,113865,807337F30,118.62,US Dollar,118.62,US Dollar,Reinvestment,0
2022/09/01 00:00,3051,804D2BF60,3051,804D2BF60,4909.47,US Dollar,4909.47,US Dollar,Reinvestment,0
2022/09/01 00:14,1588,801973B00,1588,801973B00,17.3,US Dollar,17.3,US Dollar,Reinvestment,0
2022/09/01 00:03,1457,806776790,1457,806776790,21.64,US Dollar,21.64,US Dollar,Reinvestment,0
2022/09/01 00:14,2845,8041749E0,2845,8041749E0,11919.26,US Dollar,11919.26,US Dollar,Reinvestment,0
2022/09/01 00:29,1674,801D24AD0,1674,801D24AD0,64571.82,US Dollar,64571.82,US Dollar,Reinvestment,0
2022/09/01 00:18,1853,800D6FAD0,1853,800D6FAD0,229073.22,US Dollar,229073.22,US Dollar,Reinvestment,0
2022/09/01 00:26,3149,80165F240,1411,801759C40,203.37,US Dollar,203.37,US Dollar,Cheque,0
2022/09/01 00:28,22205,804E455D0,22205,804E455D0,798.75,US Dollar,798.75,US Dollar,Reinvestment,0
2022/09/01 00:24,1665,8003CFC30,1665,8003CFC30,44569.53,US Dollar,44569.53,US Dollar,Reinvestment,0
2022/09/01 00:25,311122,806A20070,311122,806A20070,10186.56,US Dollar,10186.56,US Dollar,Reinvestment,0
2022/09/01 00:24,37778,802E2A0B0,37778,802E2A0B0,5527.83,US Dollar,5527.83,US Dollar,Reinvestment,0
2022/09/03 08:27,213,80C93DF00,213,809E26AD0,18376.77,Canadian Dollar,18376.77,Canadian Dollar,ACH,1
2022/09/01 00:15,3314,801471BE0,3314,801471BE0,26574.84,US Dollar,26574.84,US Dollar,Reinvestment,0
2022/09/01 00:15,21174,800D286A0,21174,800D286A0,8.95,US Dollar,8.95,US Dollar,Reinvestment,0
2022/09/01 00:29,11318,8005E8B80,11318,8005E8B80,55948.05,US Dollar,55948.05,US Dollar,Reinvestment,0
2022/09/01 00:25,34483,801A660E0,34483,801A660E0,402.43,US Dollar,402.43,US Dollar,Reinvestment,0
2022/09/01 00:05,12,800146B60,701,800A70500,3512.13,US Dollar,3512.13,US Dollar,Credit Card,0
2022/09/01 00:07,70,100428660,701,803627340,13565.22,US Dollar,13565.22,US Dollar,Cheque,0
2022/09/01 00:00,1588,80657AF70,1588,80657AF70,12.91,US Dollar,12.91,US Dollar,Reinvestment,0
2022/09/01 00:26,1729,8003F5C70,11974,800E81FE0,636.34,US Dollar,636.34,US Dollar,Credit Card,0
2022/09/01 00:13,5140,803950400,5140,803950400,13.47,US Dollar,13.47,US Dollar,Reinvestment,0
2022/09/01 00:25,12381,8051DED30,12381,8051DED30,6.3,US Dollar,6.3,US Dollar,Reinvestment,0
2022/09/01 00:13,113865,805716A10,113865,805716A10,133.95,US Dollar,133.95,US Dollar,Reinvestment,0
2022/09/01 00:27,25637,80247FA30,25637,80247FA30,72281.3,US Dollar,72281.3,US Dollar,Reinvestment,0
2022/09/01 00:05,1412,800BCB590,1412,800BCB590,127647.13,US Dollar,127647.13,US Dollar,Reinvestment,0
2022/09/01 00:21,4242,802E00F30,35925,80F26F650,19.47,US Dollar,19.47,US Dollar,Credit Card,0
2022/09/01 00:12,11405,800F32140,11405,800F32140,254704.21,US Dollar,254704.21,US Dollar,Reinvestment,0
2022/09/01 00:14,31021,8027D3E40,31021,8027D3E40,305.91,US Dollar,305.91,US Dollar,Reinvestment,0
2022/09/01 00:23,34448,802A5F210,34448,802A5F210,22217.68,US Dollar,22217.68,US Dollar,Reinvestment,0
2022/09/01 00:18,1047,80119A2B0,1047,80119A2B0,5098.52,US Dollar,5098.52,US Dollar,Reinvestment,0
2022/09/01 00:26,36810,8057DB740,36810,8057DB740,7898.75,US Dollar,7898.75,US Dollar,Reinvestment,0
2022/09/01 00:15,2843,8032DDC20,2843,8032DDC20,22.87,US Dollar,22.87,US Dollar,Reinvestment,0
2022/09/01 00:09,795,800DFA630,11405,8034AFC40,227.27,US Dollar,227.27,US Dollar,Cheque,0
2022/09/01 00:05,22345,801324890,22345,801324890,193646.4,US Dollar,193646.4,US Dollar,Reinvestment,0
2022/09/01 00:02,1411,803D609A0,1411,803D609A0,8345.48,US Dollar,8345.48,US Dollar,Reinvestment,0
2022/09/01 00:09,7042,802B137A0,7042,802B137A0,8.17,US Dollar,8.17,US Dollar,Reinvestment,0
2022/09/01 00:06,21258,80159D680,21258,80159D680,19.63,US Dollar,19.63,US Dollar,Reinvestment,0
2022/09/01 00:06,11904,8026A7520,11904,8026A7520,53259.95,US Dollar,53259.95,US Dollar,Reinvestment,0
2022/09/01 00:11,27637,80392FF70,27637,80392FF70,18.58,US Dollar,18.58,US Dollar,Reinvestment,0
2022/09/01 00:07,24132,801D41BF0,24132,801D41BF0,19615.06,US Dollar,19615.06,US Dollar,Reinvestment,0
2022/09/01 00:24,28800,806DF2EC0,28800,806DF2EC0,145198.63,US Dollar,145198.63,US Dollar,Reinvestment,0
2022/09/01 00:24,1601,8005B51D0,1601,8005B51D0,12198.95,US Dollar,12198.95,US Dollar,Reinvestment,0
2022/09/01 00:23,220,800682EC0,220,800682EC0,18.38,US Dollar,18.38,US Dollar,Reinvestment,0
2022/09/01 00:08,215064,806FE4760,215064,806FE4760,4.94,US Dollar,4.94,US Dollar,Reinvestment,0
2022/09/01 00:26,25981,80285FB80,25981,80285FB80,24869.66,US Dollar,24869.66,US Dollar,Reinvestment,0
2022/09/01 00:27,4403,8032CDC10,18549,803349C10,8653858.11,US Dollar,8653858.11,US Dollar,Cheque,0
2022/09/01 00:03,1467,800C13210,1467,800C13210,23157.33,US Dollar,23157.33,US Dollar,Reinvestment,0
2022/09/01 00:20,70,100428660,1411,802B15610,3542.5,US Dollar,3542.5,US Dollar,Credit Card,0
2022/09/01 00:03,11107,803949300,11107,803949300,19590.51,US Dollar,19590.51,US Dollar,Reinvestment,0
2022/09/01 00:13,11904,800C16230,11904,800C16230,2278.4,US Dollar,2278.4,US Dollar,Reinvestment,0
2022/09/01 00:15,9482,805D35E60,9482,805D35E60,17.03,US Dollar,17.03,US Dollar,Reinvestment,0
2022/09/01 00:03,11296,80663C340,11296,80663C340,3.83,US Dollar,3.83,US Dollar,Reinvestment,0
2022/09/01 00:25,9482,805D35E60,9482,805D35E60,2422.33,US Dollar,2422.33,US Dollar,Reinvestment,0
2022/09/01 00:27,111443,805571620,111443,805571620,3.95,US Dollar,3.95,US Dollar,Reinvestment,0
2022/09/01 00:02,11474,802262940,11474,802262940,7.12,US Dollar,7.12,US Dollar,Reinvestment,0
2022/09/01 00:11,1853,800C0B360,1853,800C0B360,4421.22,US Dollar,4421.22,US Dollar,Reinvestment,0
2022/09/01 00:15,33755,80161E110,33755,80161E110,5814.55,US Dollar,5814.55,US Dollar,Reinvestment,0
2022/09/01 00:17,11157,80188DF20,11471,806860160,49.75,US Dollar,49.75,US Dollar,Credit Card,0
2022/09/01 00:22,1467,800264DC0,1467,800264DC0,23.21,US Dollar,23.21,US Dollar,Reinvestment,0
2022/09/01 00:13,1420,800BC6D60,1420,800BC6D60,12.14,US Dollar,12.14,US Dollar,Reinvestment,0
2022/09/01 00:24,15916,804F49AD0,15916,804F49AD0,169.45,US Dollar,169.45,US Dollar,Reinvestment,0
2022/09/01 00:07,11296,8052E0BF0,11296,8052E0BF0,7111.5,US Dollar,7111.5,US Dollar,Reinvestment,0
2022/09/05 12:57,150240,812D22980,222,811B83280,48318.33,Saudi Riyal,48318.33,Saudi Riyal,ACH,1
2022/09/06 23:45,1665,8010FD8B0,7042,803173180,6309.44,US Dollar,6309.44,US Dollar,ACH,1
2022/09/01 00:11,1729,8003F5C70,11974,800E81FE0,634.54,US Dollar,634.54,US Dollar,Cheque,0
2022/09/01 00:08,2454,803530710,2454,803530710,103990.2,US Dollar,103990.2,US Dollar,Reinvestment,0
2022/09/01 00:25,31128,8033EF840,31128,8033EF840,3604.12,US Dollar,3604.12,US Dollar,Reinvestment,0
2022/09/01 00:18,2843,800AC5B90,2843,800AC5B90,9.09,US Dollar,9.09,US Dollar,Reinvestment,0
2022/09/01 00:24,1688,8010A5140,1688,8010A5140,952330.96,US Dollar,952330.96,US Dollar,Reinvestment,0
2022/09/01 00:02,4523,806583740,4523,806583740,21.2,US Dollar,21.2,US Dollar,Reinvestment,0
2022/09/01 00:14,13145,801A9ED00,1420,801A9AFD0,135992.0,US Dollar,135992.0,US Dollar,Cheque,0
2022/09/01 00:23,1467,806A64580,1467,806A64580,21.58,US Dollar,21.58,US Dollar,Reinvestment,0
2022/09/01 00:29,22828,8010D37A0,22828,8010D37A0,28085.92,US Dollar,28085.92,US Dollar,Reinvestment,0
2022/09/01 00:16,795,8004C02F0,795,8004C02F0,19.71,US Dollar,19.71,US Dollar,Reinvestment,0
2022/09/01 00:28,15980,8037B7D30,15980,8037B7D30,574.03,US Dollar,574.03,US Dollar,Reinvestment,0
2022/09/01 00:01,34200,801CB5530,11107,801CB54E0,7545.5,US Dollar,7545.5,US Dollar,Cheque,0
2022/09/01 00:14,23537,803316C80,23537,803316C80,7.01,US Dollar,7.01,US Dollar,Reinvestment,0
2022/09/01 00:02,12,801969DB0,12,801969DB0,11.38,US Dollar,11.38,US Dollar,Reinvestment,0
2022/09/02 06:36,48910,8120D49E0,48308,811ED7DF0,72635.55,Saudi Riyal,72635.55,Saudi Riyal,ACH,1
2022/09/01 00:19,318512,806B90C70,11405,806B8FA70,943.33,US Dollar,943.33,US Dollar,Cheque,0
2022/09/01 00:08,28800,803F48BC0,28800,803F48BC0,232421.31,US Dollar,232421.31,US Dollar,Reinvestment,0
2022/09/01 00:29,1688,807440180,1688,807440180,143783.44,US Dollar,143783.44,US Dollar,Reinvestment,0
2022/09/01 00:28,2947,805DE74F0,2947,805DE74F0,472243.3,US Dollar,472243.3,US Dollar,Reinvestment,0
2022/09/01 00:19,21550,80349C4B0,21550,80349C4B0,2333.44,US Dollar,2333.44,US Dollar,Reinvestment,0
2022/09/01 00:29,5836,80320C1B0,5836,80320C1B0,563671.6,US Dollar,563671.6,US Dollar,Reinvestment,0
2022/09/01 00:21,16109,8070F6F90,16109,8070F6F90,17.36,US Dollar,17.36,US Dollar,Reinvestment,0
2022/09/01 00:19,1412,80348E610,1412,80348E610,60520.55,US Dollar,60520.55,US Dollar,Reinvestment,0
2022/09/01 00:25,12,800147C30,12,800147C30,52709.17,US Dollar,52709.17,US Dollar,Reinvestment,0
2022/09/02 05:02,116,80F1AF380,1655,811F9C580,3620.93,Euro,3620.93,Euro,ACH,1
2022/09/01 00:04,1292,802C52E40,1292,802C52E40,22337.22,US Dollar,22337.22,US Dollar,Reinvestment,0
2022/09/01 00:23,11318,802A5F400,11318,802A5F400,13.98,US Dollar,13.98,US Dollar,Reinvestment,0
2022/09/01 00:21,11296,803C17570,11296,803C17570,5.64,US Dollar,5.64,US Dollar,Reinvestment,0
2022/09/01 00:19,4403,8042182C0,4403,8042182C0,2979.49,US Dollar,2979.49,US Dollar,Reinvestment,0
2022/09/01 00:21,12,800BF7AA0,12,800BF7AA0,8890.96,US Dollar,8890.96,US Dollar,Reinvestment,0
2022/09/01 00:29,1362,8005BA810,1420,801267E00,93.67,US Dollar,93.67,US Dollar,Cheque,0
